,"Évolution comparée de la mortalité 
et de la circulation routière 
en métropole entre 1952 et 2018
(Source : ONISR - Soes, Mémento des transports)",,,,
,Année ,"Personnes décédées 
sur le coup 
ou dans les 
30 jours  après l'accident *",,Milliards véh.km,T30j/milliard de véhxKm
,1952,"7,239",,31,230
,1953,"8,358",,36,232
,1954,"8,793",,45,197
,1955,"9,398",,51,183
,1956,"9,661",,57,170
,1957,"9,934",,64,155
,1958,"9,478",,72,131
,1959,"9,808",,80,123
,1960,"9,675",,87,111
,1961,"10,660",,96,111
,1962,"11,579",,104,111
,1963,"11,695",,113,104
,1964,"12,952",,126,102
,1965,"14,171",,137,104
,1966,"14,180",,150,95
,1967,"14,808",,163,91
,1968,"15,559",,176,89
,1969,"15,984",,186,86
,1970,"16,387",,202,81
,1971,"17,506",,219,80
,1972,"18,034",,235,77
,1973,"16,861",,254,66
,1974,"14,526",,254,57
,1975,"14,166",,266,53
,1976,"14,799",,276,54
,1977,"14,127",,283,50
,1978,"13,033",,300,43
,1979,"13,295",,308,43
,1980,"13,636",,317,43
,1981,"13,287",,330,40
,1982,"13,113",,338,39
,1983,"12,728",,346,37
,1984,"12,562",,354,35
,1985,"11,387",,357,32
,1986,"11,947",,369,32
,1987,"10,742",,377,29
,1988,"11,497",,403,29
,1989,"11,476",,414,28
,1990,"11,215",,420,27
,1991,"10,483",,428,24
,1992,"9,900",,441,22
,1993,"9,568",,446,21
,1994,"9,019",,455,20
,1995,"8,891",,466,19
,1996,"8,541",,471,18
,1997,"8,444",,481,18
,1998,"8,918",,499,18
,1999,"8,487",,514,17
,2000,"8,079",,518,16
,2001,"8,160",,539,15
,2002,"7,655",,548,14
,2003,"6,058",,553,11
,2004,"5,593",,557,10
,2005,"5,318",,554,10
,2006,"4,709",,555,8.5
,2007,"4,620",,562,8.2
,2008,"4,275",,553,7.7
,2009,"4,273",,552,7.7
,2010,"3,992",,560,7.1
,2011,"3,963",,565,7.0
,2012,"3,653",,564,6.5
,2013,"3,268",,568,5.8
,2014,"3,384",,572,5.9
,2015,"3,461",,585,5.9
,2016,"3,477",,600,5.8
,2017,"3,448",,606,5.7
,2018,"3,248",,606,5.4
,"* de 1952 à 2004 : estimation du nombre de personnes tuées à 30 jours à partir du nombre des personnes tuées à 6 et 3 jours, par application d'un coefficient majorateur.",,,,
