sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm,class,sepal_length_cm_rank,sepal_width_cm_rank,petal_length_cm_rank,petal_width_cm_rank
5.1,3.5,1.4,0.2,Iris-setosa,0.2733333333333333,0.8633333333333333,0.11666666666666667,0.1206896551724138
4.9,3.0,1.4,0.2,Iris-setosa,0.15666666666666668,0.47,0.11666666666666667,0.1206896551724138
4.7,3.2,1.3,0.2,Iris-setosa,0.09666666666666666,0.68,0.05333333333333334,0.1206896551724138
4.6,3.1,1.5,0.2,Iris-setosa,0.07666666666666666,0.5966666666666667,0.20333333333333334,0.1206896551724138
5.0,3.6,1.4,0.2,Iris-setosa,0.21,0.8933333333333333,0.11666666666666667,0.1206896551724138
5.4,3.9,1.7,0.4,Iris-setosa,0.3566666666666667,0.97,0.31,0.27586206896551724
4.6,3.4,1.4,0.3,Iris-setosa,0.07666666666666666,0.8033333333333333,0.11666666666666667,0.22758620689655173
5.0,3.4,1.5,,Iris-setosa,0.21,0.8033333333333333,0.20333333333333334,
4.4,2.9,1.4,,Iris-setosa,0.04666666666666667,0.35,0.11666666666666667,
4.9,3.1,1.5,,Iris-setosa,0.15666666666666668,0.5966666666666667,0.20333333333333334,
5.4,3.7,1.5,,Iris-setosa,0.3566666666666667,0.9133333333333333,0.20333333333333334,
4.8,3.4,1.6,,Iris-setosa,0.12,0.8033333333333333,0.2733333333333333,
4.8,3.0,1.4,0.1,Iris-setosa,0.12,0.47,0.11666666666666667,0.020689655172413793
5.7,3.0,1.1,0.1,Iris-setosa,0.48333333333333334,0.47,0.013333333333333334,0.020689655172413793
5.8,4.0,1.2,0.2,Iris-setosa,0.5333333333333333,0.98,0.023333333333333334,0.1206896551724138
5.7,4.4,1.5,0.4,Iris-setosa,0.48333333333333334,1.0,0.20333333333333334,0.27586206896551724
5.4,3.9,1.3,0.4,Iris-setosa,0.3566666666666667,0.97,0.05333333333333334,0.27586206896551724
5.1,3.5,1.4,0.3,Iris-setosa,0.2733333333333333,0.8633333333333333,0.11666666666666667,0.22758620689655173
5.7,3.8,1.7,0.3,Iris-setossa,0.48333333333333334,0.9433333333333334,0.31,0.22758620689655173
5.1,3.8,1.5,0.3,Iris-setosa,0.2733333333333333,0.9433333333333334,0.20333333333333334,0.22758620689655173
5.4,3.4,1.7,0.2,Iris-setosa,0.3566666666666667,0.8033333333333333,0.31,0.1206896551724138
5.1,3.7,1.5,0.4,Iris-setosa,0.2733333333333333,0.9133333333333333,0.20333333333333334,0.27586206896551724
4.6,3.6,1.0,0.2,Iris-setosa,0.07666666666666666,0.8933333333333333,0.006666666666666667,0.1206896551724138
5.1,3.3,1.7,0.5,Iris-setosa,0.2733333333333333,0.7433333333333333,0.31,0.30344827586206896
4.8,3.4,1.9,0.2,Iris-setosa,0.12,0.8033333333333333,0.33,0.1206896551724138
5.0,3.0,1.6,0.2,Iris-setosa,0.21,0.47,0.2733333333333333,0.1206896551724138
5.0,3.4,1.6,0.4,Iris-setosa,0.21,0.8033333333333333,0.2733333333333333,0.27586206896551724
5.2,3.5,1.5,0.2,Iris-setosa,0.31666666666666665,0.8633333333333333,0.20333333333333334,0.1206896551724138
5.2,3.4,1.4,0.2,Iris-setosa,0.31666666666666665,0.8033333333333333,0.11666666666666667,0.1206896551724138
4.7,3.2,1.6,0.2,Iris-setosa,0.09666666666666666,0.68,0.2733333333333333,0.1206896551724138
4.8,3.1,1.6,0.2,Iris-setosa,0.12,0.5966666666666667,0.2733333333333333,0.1206896551724138
5.4,3.4,1.5,0.4,Iris-setosa,0.3566666666666667,0.8033333333333333,0.20333333333333334,0.27586206896551724
5.2,4.1,1.5,0.1,Iris-setosa,0.31666666666666665,0.9866666666666667,0.20333333333333334,0.020689655172413793
5.5,4.2,1.4,0.2,Iris-setosa,0.3933333333333333,0.9933333333333333,0.11666666666666667,0.1206896551724138
4.9,3.1,1.5,0.1,Iris-setosa,0.15666666666666668,0.5966666666666667,0.20333333333333334,0.020689655172413793
5.0,3.2,1.2,0.2,Iris-setosa,0.21,0.68,0.023333333333333334,0.1206896551724138
5.5,3.5,1.3,0.2,Iris-setosa,0.3933333333333333,0.8633333333333333,0.05333333333333334,0.1206896551724138
4.9,3.1,1.5,0.1,Iris-setosa,0.15666666666666668,0.5966666666666667,0.20333333333333334,0.020689655172413793
4.4,3.0,1.3,0.2,Iris-setosa,0.04666666666666667,0.47,0.05333333333333334,0.1206896551724138
5.1,3.4,1.5,0.2,Iris-setosa,0.2733333333333333,0.8033333333333333,0.20333333333333334,0.1206896551724138
5.0,3.5,1.3,0.3,Iris-setosa,0.21,0.8633333333333333,0.05333333333333334,0.22758620689655173
4.5,2.3,1.3,0.3,Iris-setosa,0.06,0.043333333333333335,0.05333333333333334,0.22758620689655173
4.4,3.2,1.3,0.2,Iris-setosa,0.04666666666666667,0.68,0.05333333333333334,0.1206896551724138
5.0,3.5,1.6,0.6,Iris-setosa,0.21,0.8633333333333333,0.2733333333333333,0.3103448275862069
5.1,3.8,1.9,0.4,Iris-setosa,0.2733333333333333,0.9433333333333334,0.33,0.27586206896551724
4.8,3.0,1.4,0.3,Iris-setosa,0.12,0.47,0.11666666666666667,0.22758620689655173
5.1,3.8,1.6,0.2,Iris-setosa,0.2733333333333333,0.9433333333333334,0.2733333333333333,0.1206896551724138
4.6,3.2,1.4,0.2,Iris-setosa,0.07666666666666666,0.68,0.11666666666666667,0.1206896551724138
5.3,3.7,1.5,0.2,Iris-setosa,0.3333333333333333,0.9133333333333333,0.20333333333333334,0.1206896551724138
5.0,3.3,1.4,0.2,Iris-setosa,0.21,0.7433333333333333,0.11666666666666667,0.1206896551724138
7.0,3.2,4.7,1.4,Iris-versicolor,0.9266666666666666,0.68,0.62,0.5344827586206896
6.4,3.2,4.5,1.5,Iris-versicolor,0.76,0.68,0.5566666666666666,0.603448275862069
6.9,3.1,4.9,1.5,Iris-versicolor,0.91,0.5966666666666667,0.68,0.603448275862069
5.5,2.3,4.0,1.3,Iris-versicolor,0.3933333333333333,0.043333333333333335,0.4266666666666667,0.46206896551724136
6.5,2.8,4.6,1.5,Iris-versicolor,0.8,0.26666666666666666,0.5933333333333334,0.603448275862069
5.7,2.8,4.5,1.3,Iris-versicolor,0.48333333333333334,0.26666666666666666,0.5566666666666666,0.46206896551724136
6.3,3.3,4.7,1.6,Iris-versicolor,0.7066666666666667,0.7433333333333333,0.62,0.6586206896551724
4.9,2.4,3.3,1.0,Iris-versicolor,0.15666666666666668,0.06666666666666667,0.35,0.33793103448275863
6.6,2.9,4.6,1.3,Iris-versicolor,0.8233333333333334,0.35,0.5933333333333334,0.46206896551724136
5.2,2.7,3.9,1.4,Iris-versicolor,0.31666666666666665,0.19,0.4,0.5344827586206896
5.0,2.0,3.5,1.0,Iris-versicolor,0.21,0.006666666666666667,0.36333333333333334,0.33793103448275863
5.9,3.0,4.2,1.5,Iris-versicolor,0.5666666666666667,0.47,0.4766666666666667,0.603448275862069
6.0,2.2,4.0,1.0,Iris-versicolor,0.5933333333333334,0.02,0.4266666666666667,0.33793103448275863
6.1,2.9,4.7,1.4,Iris-versicolor,0.63,0.35,0.62,0.5344827586206896
5.6,2.9,3.6,1.3,Iris-versicolor,0.43333333333333335,0.35,0.37333333333333335,0.46206896551724136
6.7,3.1,4.4,1.4,Iris-versicolor,0.8533333333333334,0.5966666666666667,0.5166666666666667,0.5344827586206896
5.6,3.0,4.5,1.5,Iris-versicolor,0.43333333333333335,0.47,0.5566666666666666,0.603448275862069
5.8,2.7,4.1,1.0,Iris-versicolor,0.5333333333333333,0.19,0.4533333333333333,0.33793103448275863
6.2,2.2,4.5,1.5,Iris-versicolor,0.6633333333333333,0.02,0.5566666666666666,0.603448275862069
5.6,2.5,3.9,1.1,Iris-versicolor,0.43333333333333335,0.10333333333333333,0.4,0.3724137931034483
5.9,3.2,4.8,1.8,Iris-versicolor,0.5666666666666667,0.68,0.65,0.7275862068965517
6.1,2.8,4.0,1.3,Iris-versicolor,0.63,0.26666666666666666,0.4266666666666667,0.46206896551724136
6.3,2.5,4.9,1.5,Iris-versicolor,0.7066666666666667,0.10333333333333333,0.68,0.603448275862069
6.1,2.8,4.7,1.2,Iris-versicolor,0.63,0.26666666666666666,0.62,0.4
6.4,2.9,4.3,1.3,Iris-versicolor,0.76,0.35,0.49666666666666665,0.46206896551724136
6.6,3.0,4.4,1.4,Iris-versicolor,0.8233333333333334,0.47,0.5166666666666667,0.5344827586206896
6.8,2.8,4.8,1.4,Iris-versicolor,0.8866666666666667,0.26666666666666666,0.65,0.5344827586206896
0.067,3.0,5.0,1.7,Iris-versicolor,0.03333333333333333,0.47,0.71,0.6793103448275862
0.06,2.9,4.5,1.5,Iris-versicolor,0.02666666666666667,0.35,0.5566666666666666,0.603448275862069
0.057,2.6,3.5,1.0,Iris-versicolor,0.02,0.14666666666666667,0.36333333333333334,0.33793103448275863
0.055,2.4,3.8,1.1,Iris-versicolor,0.01,0.06666666666666667,0.38666666666666666,0.3724137931034483
0.055,2.4,3.7,1.0,Iris-versicolor,0.01,0.06666666666666667,0.38,0.33793103448275863
5.8,2.7,3.9,1.2,Iris-versicolor,0.5333333333333333,0.19,0.4,0.4
6.0,2.8,5.1,1.6,Iris-versicolor,0.5933333333333334,0.26666666666666666,0.75,0.6586206896551724
5.4,3.0,4.5,1.5,Iris-versicolor,0.3566666666666667,0.47,0.5566666666666666,0.603448275862069
6.0,3.4,4.5,1.6,Iris-versicolor,0.5933333333333334,0.8033333333333333,0.5566666666666666,0.6586206896551724
6.7,3.1,4.7,1.5,Iris-versicolor,0.8533333333333334,0.5966666666666667,0.62,0.603448275862069
6.3,2.3,4.4,1.3,Iris-versicolor,0.7066666666666667,0.043333333333333335,0.5166666666666667,0.46206896551724136
5.6,3.0,4.1,1.3,Iris-versicolor,0.43333333333333335,0.47,0.4533333333333333,0.46206896551724136
5.5,2.5,4.0,1.3,Iris-versicolor,0.3933333333333333,0.10333333333333333,0.4266666666666667,0.46206896551724136
5.5,2.6,4.4,1.2,Iris-versicolor,0.3933333333333333,0.14666666666666667,0.5166666666666667,0.4
6.1,3.0,4.6,1.4,Iris-versicolor,0.63,0.47,0.5933333333333334,0.5344827586206896
5.8,2.6,4.0,1.2,Iris-versicolor,0.5333333333333333,0.14666666666666667,0.4266666666666667,0.4
5.0,2.3,3.3,1.0,Iris-versicolor,0.21,0.043333333333333335,0.35,0.33793103448275863
5.6,2.7,4.2,1.3,Iris-versicolor,0.43333333333333335,0.19,0.4766666666666667,0.46206896551724136
5.7,3.0,4.2,1.2,versicolor,0.48333333333333334,0.47,0.4766666666666667,0.4
5.7,2.9,4.2,1.3,versicolor,0.48333333333333334,0.35,0.4766666666666667,0.46206896551724136
6.2,2.9,4.3,1.3,versicolor,0.6633333333333333,0.35,0.49666666666666665,0.46206896551724136
5.1,2.5,3.0,1.1,versicolor,0.2733333333333333,0.10333333333333333,0.34,0.3724137931034483
5.7,2.8,4.1,1.3,versicolor,0.48333333333333334,0.26666666666666666,0.4533333333333333,0.46206896551724136
6.3,3.3,6.0,2.5,Iris-virginica,0.7066666666666667,0.7433333333333333,0.9366666666666666,0.993103448275862
5.8,2.7,5.1,1.9,Iris-virginica,0.5333333333333333,0.19,0.75,0.7827586206896552
7.1,3.0,5.9,2.1,Iris-virginica,0.9333333333333333,0.47,0.9233333333333333,0.8586206896551725
6.3,2.9,5.6,1.8,Iris-virginica,0.7066666666666667,0.35,0.8566666666666667,0.7275862068965517
6.5,3.0,5.8,2.2,Iris-virginica,0.8,0.47,0.9066666666666666,0.8896551724137931
7.6,3.0,6.6,2.1,Iris-virginica,0.9733333333333334,0.47,0.98,0.8586206896551725
4.9,2.5,4.5,1.7,Iris-virginica,0.15666666666666668,0.10333333333333333,0.5566666666666666,0.6793103448275862
7.3,2.9,6.3,1.8,Iris-virginica,0.96,0.35,0.9666666666666667,0.7275862068965517
6.7,2.5,5.8,1.8,Iris-virginica,0.8533333333333334,0.10333333333333333,0.9066666666666666,0.7275862068965517
7.2,3.6,6.1,2.5,Iris-virginica,0.9466666666666667,0.8933333333333333,0.9533333333333334,0.993103448275862
6.5,3.2,5.1,2.0,Iris-virginica,0.8,0.68,0.75,0.8172413793103448
6.4,2.7,5.3,1.9,Iris-virginica,0.76,0.19,0.7966666666666666,0.7827586206896552
6.8,3.0,5.5,2.1,Iris-virginica,0.8866666666666667,0.47,0.8266666666666667,0.8586206896551725
5.7,2.5,5.0,2.0,Iris-virginica,0.48333333333333334,0.10333333333333333,0.71,0.8172413793103448
5.8,2.8,5.1,2.4,Iris-virginica,0.5333333333333333,0.26666666666666666,0.75,0.9724137931034482
6.4,3.2,5.3,2.3,Iris-virginica,0.76,0.68,0.7966666666666666,0.9310344827586207
6.5,3.0,5.5,1.8,Iris-virginica,0.8,0.47,0.8266666666666667,0.7275862068965517
7.7,3.8,6.7,2.2,Iris-virginica,0.9866666666666667,0.9433333333333334,0.99,0.8896551724137931
7.7,2.6,6.9,2.3,Iris-virginica,0.9866666666666667,0.14666666666666667,1.0,0.9310344827586207
6.0,2.2,5.0,1.5,Iris-virginica,0.5933333333333334,0.02,0.71,0.603448275862069
6.9,3.2,5.7,2.3,Iris-virginica,0.91,0.68,0.8866666666666667,0.9310344827586207
5.6,2.8,4.9,2.0,Iris-virginica,0.43333333333333335,0.26666666666666666,0.68,0.8172413793103448
5.6,2.8,6.7,2.0,Iris-virginica,0.43333333333333335,0.26666666666666666,0.99,0.8172413793103448
6.3,2.7,4.9,1.8,Iris-virginica,0.7066666666666667,0.19,0.68,0.7275862068965517
6.7,3.3,5.7,2.1,Iris-virginica,0.8533333333333334,0.7433333333333333,0.8866666666666667,0.8586206896551725
7.2,3.2,6.0,1.8,Iris-virginica,0.9466666666666667,0.68,0.9366666666666666,0.7275862068965517
6.2,2.8,4.8,1.8,Iris-virginica,0.6633333333333333,0.26666666666666666,0.65,0.7275862068965517
6.1,3.0,4.9,1.8,Iris-virginica,0.63,0.47,0.68,0.7275862068965517
6.4,2.8,5.6,2.1,Iris-virginica,0.76,0.26666666666666666,0.8566666666666667,0.8586206896551725
7.2,3.0,5.8,1.6,Iris-virginica,0.9466666666666667,0.47,0.9066666666666666,0.6586206896551724
7.4,2.8,6.1,1.9,Iris-virginica,0.9666666666666667,0.26666666666666666,0.9533333333333334,0.7827586206896552
7.9,3.8,6.4,2.0,Iris-virginica,1.0,0.9433333333333334,0.9733333333333334,0.8172413793103448
6.4,2.8,5.6,2.2,Iris-virginica,0.76,0.26666666666666666,0.8566666666666667,0.8896551724137931
6.3,2.8,5.1,1.5,Iris-virginica,0.7066666666666667,0.26666666666666666,0.75,0.603448275862069
6.1,2.6,5.6,1.4,Iris-virginica,0.63,0.14666666666666667,0.8566666666666667,0.5344827586206896
7.7,3.0,6.1,2.3,Iris-virginica,0.9866666666666667,0.47,0.9533333333333334,0.9310344827586207
6.3,3.4,5.6,2.4,Iris-virginica,0.7066666666666667,0.8033333333333333,0.8566666666666667,0.9724137931034482
6.4,3.1,5.5,1.8,Iris-virginica,0.76,0.5966666666666667,0.8266666666666667,0.7275862068965517
6.0,3.0,4.8,1.8,Iris-virginica,0.5933333333333334,0.47,0.65,0.7275862068965517
6.9,3.1,5.4,2.1,Iris-virginica,0.91,0.5966666666666667,0.81,0.8586206896551725
6.7,3.1,5.6,2.4,Iris-virginica,0.8533333333333334,0.5966666666666667,0.8566666666666667,0.9724137931034482
6.9,3.1,5.1,2.3,Iris-virginica,0.91,0.5966666666666667,0.75,0.9310344827586207
5.8,2.7,5.1,1.9,Iris-virginica,0.5333333333333333,0.19,0.75,0.7827586206896552
6.8,3.2,5.9,2.3,Iris-virginica,0.8866666666666667,0.68,0.9233333333333333,0.9310344827586207
6.7,3.3,5.7,2.5,Iris-virginica,0.8533333333333334,0.7433333333333333,0.8866666666666667,0.993103448275862
6.7,3.0,5.2,2.3,Iris-virginica,0.8533333333333334,0.47,0.7833333333333333,0.9310344827586207
6.3,2.5,5.0,2.3,Iris-virginica,0.7066666666666667,0.10333333333333333,0.71,0.9310344827586207
6.5,3.0,5.2,2.0,Iris-virginica,0.8,0.47,0.7833333333333333,0.8172413793103448
6.2,3.4,5.4,2.3,Iris-virginica,0.6633333333333333,0.8033333333333333,0.81,0.9310344827586207
5.9,3.0,5.1,1.8,Iris-virginica,0.5666666666666667,0.47,0.75,0.7275862068965517
